# MonitorFlux offline place index. GENERATED by script/make_place_index.swift — do not edit.
# Cities/admin names: GeoNames (geonames.org), CC BY 4.0. ZIP centroids: US Census ZCTA
# gazetteer 2025, public domain.
# T timezone-id | A admin1-name | C name aIdx cc lat lon pop tzIdx | Z zip lat lon
A	Espaillat Province
A	Valverde Province
A	La Romana
A	La Vega
A	Hato Mayor Province
A	Dajabón
A	Sánchez Ramírez
A	Monseñor Nouel
A	Santo Domingo Province
A	Peravia
A	Azua Province
A	Boumerdes
A	Constantine
A	Biskra
A	Algiers
A	Relizane
A	Touggourt
A	Tlemcen
A	Tizi Ouzou
A	Tissemsilt
A	Tipaza
A	Tindouf
A	Timimoun
A	Béjaïa
A	Mascara
A	Tiaret
A	Chlef
A	Mila
A	Tébessa
A	Batna
A	Tamanrasset
A	Skikda
A	Bouira
A	Blida
A	Souk Ahras
A	Ouled Djellal
A	Oran
A	Sidi Bel Abbès
A	El Mghair
A	M'Sila
A	Sétif
A	Saida
A	Ouargla
A	El Oued
A	Adrar
A	Bordj Bou Arréridj
A	Oum el Bouaghi
A	Guelma
A	Mostaganem
A	Aïn Defla
A	Ghardaia
A	Djelfa
A	Medea
A	Naama
A	Laghouat
A	Khenchela
A	Jijel
A	Aïn Témouchent
A	El Tarf
A	Annaba
A	El Menia
A	El Bayadh
A	Béchar
A	In Salah
A	Zamora Chinchipe
A	Guayas
A	Los Ríos
A	Carchi
A	Napo
A	Manabí
A	Santo Domingo de los Tsáchilas
A	El Oro
A	Santa Elena
A	Esmeraldas
A	Chimborazo Province
A	Pichincha
A	Pastaza Province
A	Cotopaxi
A	Orellana Province
A	Tungurahua Province
A	Imbabura
A	Morona-Santiago Province
A	Loja
A	Canar
A	Sucumbíos
A	Azuay
A	Viljandimaa
A	Tartu
A	Harjumaa
A	Pärnumaa
A	Ida-Virumaa
A	Gharbia
A	Red Sea
A	Qalyubia
A	Dakahlia
A	Sohag
A	Luxor
A	Faiyum
A	Monufia
A	Beni Suweif
A	Matruh
A	Kafr el-Sheikh
A	Asyut
A	Beheira
A	South Sinai
A	Sharqia
A	Minya
A	North Sinai
A	Qena
A	New Valley
A	Damietta
A	Giza
A	Cairo
A	Aswan
A	Ismailia
A	Port Said
A	Alexandria
A	Suez
A	Northern Red Sea
A	Anseba
A	Gash-Barka
A	Maekel
A	Southern Red Sea
A	Debub
A	Andalusia
A	Extremadura
A	Murcia
A	Canary Islands
A	Valencia
A	Castille-La Mancha
A	Balearic Islands
A	Melilla
A	Basque Country
A	Aragon
A	Castille and León
A	Galicia
A	Madrid
A	Catalonia
A	Navarre
A	Cantabria
A	Asturias
A	Ceuta
A	Somali
A	Oromiya
A	South Ethiopia Regional State
A	Sidama Region
A	Tigray
A	Amhara
A	Central Ethiopia Regional State
A	South West Ethiopia Peoples' Region
A	Āfar
A	Bīnshangul Gumuz
A	Harari
A	Gambela
A	Dire Dawa
A	Addis Ababa
A	Pirkanmaa
A	North Ostrobothnia
A	Uusimaa
A	North Savo
A	Ostrobothnia
A	Southwest Finland
A	Lapland
A	South Ostrobothnia
A	South Savo
A	Kanta-Häme
A	Satakunta
A	Paijat-Hame
A	Central Finland
A	South Karelia
A	Kymenlaakso
A	North Karelia
A	Central Ostrobothnia
A	Kainuu
A	Western
A	Pohnpei State
A	Streymoy
A	Île-de-France
A	Grand Est
A	Hauts-de-France
A	Rhône-Alpes
A	Provence-Alpes-Côte d'Azur
A	Brittany
A	New Aquitaine
A	Centre-Val de Loire
A	Bourgogne
A	Pays de la Loire
A	Normandy
A	Occitanie
A	Corsica
A	Nyanga
A	Ogooué-Maritime
A	Woleu-Ntem
A	Moyen-Ogooué
A	Estuaire
A	Ngouni
A	Haut-Ogooué
A	Ogooué-Ivindo
A	Ogooué-Lolo
A	England
A	Wales
